Interface Name,Source Name,Element Name,LDM Field,LDM Object,LDM Text,LDM Text Type,Internal ID
Fee bookings with GST,BTFG$UI_BOOK_LIST.DG_AVSR_EVT#GST.XSD,avsr_person,Adviser,Adviser,LDM:btfg$code_ldm_obj.person_natural_imed_avsr,ldm_obj,person_natural_imed_avsr
Fee bookings with GST,BTFG$UI_BOOK_LIST.DG_AVSR_EVT#GST.XSD,pos,Position,Position,LDM:btfg$code_ldm_obj.pos,ldm_obj,pos
Fee bookings with GST,BTFG$UI_BOOK_LIST.DG_AVSR_EVT#GST.XSD,avsr_person_phone,Electronic Address,,LDM:btfg$code_ldm_obj_fld.addr_elec$elec_addr,ldm_obj_fld,addr_elec$elec_addr
Fee bookings with GST,BTFG$UI_BOOK_LIST.DG_AVSR_EVT#GST.XSD,dg_oe_owner_abn,ABN,,LDM:btfg$code_ldm_obj_fld.person_legal$abn,ldm_obj_fld,person_legal$abn
Fee bookings with GST,BTFG$UI_BOOK_LIST.DG_AVSR_EVT#GST.XSD,gst,Is registered for GST,,LDM:btfg$code_ldm_obj_fld.person_legal$regi_gst,ldm_obj_fld,person_legal$regi_gst
IM Report - Transaction List,BTFG$UI_BOOK_LIST.INVST_MGR_CONT_DOC_EVT_POS#SHDW_MP.XSD,asset_id,Asset,Asset,LDM:btfg$code_ldm_obj.asset,ldm_obj,asset
IM Report - Transaction List,BTFG$UI_BOOK_LIST.INVST_MGR_CONT_DOC_EVT_POS#SHDW_MP.XSD,ips_id,Investment Policy Statement,Investment Policy Statement,LDM:btfg$code_ldm_obj.ips,ldm_obj,ips
IM Report - Transaction List,BTFG$UI_BOOK_LIST.INVST_MGR_CONT_DOC_EVT_POS#SHDW_MP.XSD,pos,Position,Position,LDM:btfg$code_ldm_obj.pos,ldm_obj,pos
IM Report - Transaction List,BTFG$UI_BOOK_LIST.INVST_MGR_CONT_DOC_EVT_POS#SHDW_MP.XSD,invst_mgr_id,Investment Manager ID,,LDM:btfg$code_ldm_obj_fld.ips$invst_mgr,ldm_obj_fld,ips$invst_mgr
Aggregated bookings per money account,BTFG$UI_BOOK_LIST.POS#CACC.XSD,bp_id,Account,Account,LDM:btfg$code_ldm_obj.acc,ldm_obj,acc
Aggregated bookings per money account,BTFG$UI_BOOK_LIST.POS#CACC.XSD,curry_id,Currency,Currency,LDM:btfg$code_ldm_obj.curry,ldm_obj,curry
Aggregated bookings per money account,BTFG$UI_BOOK_LIST.POS#CACC.XSD,pos,Position,Position,LDM:btfg$code_ldm_obj.pos,ldm_obj,pos
UI BP payment details,BTFG$UI_BP.PAY_DET.XSD,bp,Account,Account,LDM:btfg$code_ldm_obj.acc,ldm_obj,acc
UI BP payment details,BTFG$UI_BP.PAY_DET.XSD,bp_modi_seq_nr,BP modification sequence number,,LDM:btfg$code_ldm_obj_fld.acc$bp_modi_seq_nr,ldm_obj_fld,acc$bp_modi_seq_nr
UI BP payment details,BTFG$UI_BP.PAY_DET.XSD,bp_nr,BP Numeric Key,,LDM:btfg$code_ldm_obj_fld.acc$bp_nr,ldm_obj_fld,acc$bp_nr
UI BP payment details,BTFG$UI_BP.PAY_DET.XSD,dir_cont_bcode,BPAY Biller Code,,LDM:btfg$code_ldm_obj_fld.cont$bcode,ldm_obj_fld,cont$bcode
UI BP payment details,BTFG$UI_BP.PAY_DET.XSD,dir_cont_bsb,BSB,,LDM:btfg$code_ldm_obj_fld.cont$bsb,ldm_obj_fld,cont$bsb
UI BP List,BTFG$UI_BP_LIST.ALL#CUSTR.XSD,bp,Account,Account,LDM:btfg$code_ldm_obj.acc,ldm_obj,acc
UI BP List,BTFG$UI_BP_LIST.ALL#CUSTR.XSD,prod_id,Product,Product,LDM:btfg$code_ldm_obj.prod,ldm_obj,prod
UI BP List,BTFG$UI_BP_LIST.ALL#CUSTR.XSD,bp_acc_status_id,BP Status ID,,LDM:btfg$code_ldm_obj_fld.acc$acc_status,ldm_obj_fld,acc$acc_status
UI BP List,BTFG$UI_BP_LIST.ALL#CUSTR.XSD,acc_struct_type_id,Account Structure Type ID,,LDM:btfg$code_ldm_obj_fld.acc$acc_struct_type,ldm_obj_fld,acc$acc_struct_type
UI BP List,BTFG$UI_BP_LIST.ALL#CUSTR.XSD,avsr_person_id,Adviser Natural Person ID,,LDM:btfg$code_ldm_obj_fld.acc$avsr_person,ldm_obj_fld,acc$avsr_person
UI BP List,BTFG$UI_BP_LIST.ALL#CUSTR.XSD,avsr_person_oe_id,Adviser Person OE ID,,LDM:btfg$code_ldm_obj_fld.acc$avsr_person_oe,ldm_obj_fld,acc$avsr_person_oe
UI BP List,BTFG$UI_BP_LIST.ALL#CUSTR.XSD,bp_nr,BP Numeric Key,,LDM:btfg$code_ldm_obj_fld.acc$bp_nr,ldm_obj_fld,acc$bp_nr
UI BP List,BTFG$UI_BP_LIST.ALL#CUSTR.XSD,bp_is_open,Is BP open,,LDM:btfg$code_ldm_obj_fld.acc$is_opn,ldm_obj_fld,acc$is_opn
UI BP List,BTFG$UI_BP_LIST.ALL#CUSTR.XSD,sa_sub_type,Superannuation Sub Type ID,,LDM:btfg$code_ldm_obj_fld.acc$sa_sub_type,ldm_obj_fld,acc$sa_sub_type
UI BP List,BTFG$UI_BP_LIST.ALL#CUSTR.XSD,open_date,Open Date,,LDM:btfg$code_ldm_obj_fld.obj$open_date,ldm_obj_fld,obj$open_date
UI Cash Category Caps,BTFG$UI_CASH_CAT.BP#CAPS.XSD,bp_id,Account,Account,LDM:btfg$code_ldm_obj.acc,ldm_obj,acc
UI Cash Category Caps,BTFG$UI_CASH_CAT.BP#CAPS.XSD,person_id,Person,Person,LDM:btfg$code_ldm_obj.person,ldm_obj,person
UI Cash Category Caps,BTFG$UI_CASH_CAT.BP#CAPS.XSD,person_age,Age,,LDM:btfg$code_ldm_obj_fld.person_natural$age,ldm_obj_fld,person_natural$age
UI Cash Category Caps,BTFG$UI_CASH_CAT.BP#CAPS.XSD,birth_date,Birth Date,,LDM:btfg$code_ldm_obj_fld.person_natural$birth_date,ldm_obj_fld,person_natural$birth_date
UI Cash Category Caps,BTFG$UI_CASH_CAT.BP#CAPS.XSD,first_name,First Name,,LDM:btfg$code_ldm_obj_fld.person_natural$first_name,ldm_obj_fld,person_natural$first_name
UI Cash Category Caps,BTFG$UI_CASH_CAT.BP#CAPS.XSD,last_name,Last Name,,LDM:btfg$code_ldm_obj_fld.person_natural$last_name,ldm_obj_fld,person_natural$last_name
UI Cash Categorization,BTFG$UI_CASH_CAT.DOC_PERSON.XSD,bp_id,Account,Account,LDM:btfg$code_ldm_obj.acc,ldm_obj,acc
