Interface Name,Source Name,LDM Text Type,Internal ID,LDM Object Type,Element Name,LDM Field,Entity Name_x,LDM Text,Entity Name_y,Attribute Name,Type,Description
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$fua,person_oe,fua,Organisational Entity Funds Under Administration,-,LDM:btfg$code_ldm_obj_fld.person_oe$fua,Investment Manager Position,Organisational Entity Funds Under Administration,pls_integer or number,(ABS Field Type Avaloq DDIC Number)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$has_dg_advcong_fee,person_oe,has_dg_advcong_fee,Is License Advice Fee Activated,-,LDM:btfg$code_ldm_obj_fld.person_oe$has_dg_advcong_fee,Organizational Entity,Is License Advice Fee Activated,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$has_dg_advcong_fee,person_oe,has_dg_advcong_fee,Is License Advice Fee Activated,-,LDM:btfg$code_ldm_obj_fld.person_oe$has_dg_advcong_fee,Intermediary Structure,Is License Advice Fee Activated,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$has_dg_advcong_fee,person_oe,has_dg_advcong_fee,Is License Advice Fee Activated,-,LDM:btfg$code_ldm_obj_fld.person_oe$has_dg_advcong_fee,Issuer Entity,Is License Advice Fee Activated,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$has_dg_advcong_fee,person_oe,has_dg_advcong_fee,Is License Advice Fee Activated,-,LDM:btfg$code_ldm_obj_fld.person_oe$has_dg_advcong_fee,Super Dealer Group,Is License Advice Fee Activated,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$has_dg_advcong_fee,person_oe,has_dg_advcong_fee,Is License Advice Fee Activated,-,LDM:btfg$code_ldm_obj_fld.person_oe$has_dg_advcong_fee,Dealer Group,Is License Advice Fee Activated,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$has_dg_advcong_fee,person_oe,has_dg_advcong_fee,Is License Advice Fee Activated,-,LDM:btfg$code_ldm_obj_fld.person_oe$has_dg_advcong_fee,Practice,Is License Advice Fee Activated,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$has_dg_advcong_fee,person_oe,has_dg_advcong_fee,Is License Advice Fee Activated,-,LDM:btfg$code_ldm_obj_fld.person_oe$has_dg_advcong_fee,Office,Is License Advice Fee Activated,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$has_dg_advcong_fee,person_oe,has_dg_advcong_fee,Is License Advice Fee Activated,-,LDM:btfg$code_ldm_obj_fld.person_oe$has_dg_advcong_fee,Adviser Position,Is License Advice Fee Activated,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$has_dg_advcong_fee,person_oe,has_dg_advcong_fee,Is License Advice Fee Activated,-,LDM:btfg$code_ldm_obj_fld.person_oe$has_dg_advcong_fee,Internal Structure,Is License Advice Fee Activated,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$has_dg_advcong_fee,person_oe,has_dg_advcong_fee,Is License Advice Fee Activated,-,LDM:btfg$code_ldm_obj_fld.person_oe$has_dg_advcong_fee,Investment Manager Structure,Is License Advice Fee Activated,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
OE Intermediary Structure,BTFG$UI_OE_STRUCT.PERSON#HIRA.XSD,ldm_obj_fld,person_oe$has_dg_advcong_fee,person_oe,has_dg_advcong_fee,Is License Advice Fee Activated,-,LDM:btfg$code_ldm_obj_fld.person_oe$has_dg_advcong_fee,Investment Manager Position,Is License Advice Fee Activated,varchar2(1) or boolean,(ABS Field Type Avaloq DDIC Boolean)
